tenure_bucket,rating,outcome,count
established,1.0,FN,30
established,1.0,FP,21
established,1.0,TN,603
established,1.0,TP,21
established,2.0,FN,32
established,2.0,FP,14
established,2.0,TN,1199
established,2.0,TP,30
established,3.0,FN,34
established,3.0,FP,22
established,3.0,TN,3197
established,3.0,TP,37
established,4.0,FN,136
established,4.0,FP,63
established,4.0,TN,9298
established,4.0,TP,118
established,5.0,FN,136
established,5.0,FP,90
established,5.0,TN,6719
established,5.0,TP,135
moderate,1.0,FN,33
moderate,1.0,FP,20
moderate,1.0,TN,539
moderate,1.0,TP,53
moderate,2.0,FN,34
moderate,2.0,FP,38
moderate,2.0,TN,1111
moderate,2.0,TP,67
moderate,3.0,FN,70
moderate,3.0,FP,56
moderate,3.0,TN,2167
moderate,3.0,TP,78
moderate,4.0,FN,244
moderate,4.0,FP,109
moderate,4.0,TN,6401
moderate,4.0,TP,277
moderate,5.0,FN,264
moderate,5.0,FP,150
moderate,5.0,TN,6086
moderate,5.0,TP,392
new,1.0,FN,216
new,1.0,FP,251
new,1.0,TN,1547
new,1.0,TP,1341
new,2.0,FN,201
new,2.0,FP,155
new,2.0,TN,1821
new,2.0,TP,648
new,3.0,FN,287
new,3.0,FP,165
new,3.0,TN,2914
new,3.0,TP,618
new,4.0,FN,845
new,4.0,FP,703
new,4.0,TN,9087
new,4.0,TP,2149
new,5.0,FN,1421
new,5.0,FP,1198
new,5.0,TN,13489
new,5.0,TP,4246
veteran,1.0,FN,4
veteran,1.0,TN,410
veteran,1.0,TP,8
veteran,2.0,FN,6
veteran,2.0,FP,6
veteran,2.0,TN,1444
veteran,2.0,TP,12
veteran,3.0,FN,3
veteran,3.0,FP,11
veteran,3.0,TN,4363
veteran,3.0,TP,1
veteran,4.0,FN,37
veteran,4.0,FP,29
veteran,4.0,TN,9603
veteran,4.0,TP,22
veteran,5.0,FN,54
veteran,5.0,FP,15
veteran,5.0,TN,6731
veteran,5.0,TP,41
