,importance
dbscan_cluster_spam_rate,0.11460223785420055
kmeans_cluster_spam_rate,0.10176261043133661
avg_review_length,0.10175230955995736
capital_ratio,0.09999033896706529
mean_caps_ratio,0.09949420561317225
mean_review_length,0.09942270161620309
review_count,0.04681594080812593
total_reviews,0.03958021699809843
avg_exclamations,0.032205708000549324
mean_exclamations,0.03190634491613065
mean_rating,0.03031599535907651
rating_std,0.02982402877876902
avg_rating,0.02972218936393857
dbscan_cluster,0.02778516438069585
max_seller_fraction,0.027307096603868992
kmeans_cluster_id,0.02216222043232802
concentration,0.021911381166922483
l2_rule_partial_max,0.012376402795697372
l2_rule_partial_mean,0.010332527703790142
l2_rule_max_weight,0.00984349600421598
l2_rule_match_count,0.009549123564472182
dbscan_is_noise,0.001337759081385223
